epoch,checkpoint,onset,frame,offset,COn,COnP,COnPOff
81,best_model_epoch0081_COnP0.7728.pt,0.5,0.6,0.2,0.791984,0.764344,0.567115
86,best_model_epoch0086_COnP0.7783.pt,0.55,0.5,0.25,0.794563,0.766793,0.576671
98,best_model_epoch0098_COnP0.7785.pt,0.45,0.5,0.2,0.796656,0.768795,0.575604
100,best_model_epoch0100_COnP0.7810.pt,0.45,0.5,0.1,0.794117,0.766785,0.576731
103,best_model_epoch0103_COnP0.7830.pt,0.45,0.55,0.2,0.796534,0.769547,0.581604
110,best_model_epoch0110_COnP0.7836.pt,0.45,0.55,0.2,0.796433,0.7687,0.58047
111,best_model_epoch0111_COnP0.7874.pt,0.55,0.45,0.15,0.797315,0.76936,0.578965
118,best_model_epoch0118_COnP0.7883.pt,0.55,0.6,0.25,0.795504,0.77014,0.580705
121,best_model_epoch0121_COnP0.7892.pt,0.45,0.5,0.2,0.798285,0.771206,0.584032
128,best_model_epoch0128_COnP0.7958.pt,0.45,0.5,0.1,0.803172,0.776425,0.59262
138,best_model_epoch0138_COnP0.7961.pt,0.45,0.55,0.2,0.800453,0.773682,0.588824
141,best_model_epoch0141_COnP0.7983.pt,0.55,0.6,0.2,0.801856,0.775228,0.594227
153,best_model_epoch0153_COnP0.7990.pt,0.4,0.5,0.2,0.797971,0.771476,0.589806
156,best_model_epoch0156_COnP0.7990.pt,0.6,0.6,0.3,0.797862,0.771508,0.582858
158,best_model_epoch0158_COnP0.8003.pt,0.5,0.45,0.15,0.79797,0.770937,0.586963
170,best_model_epoch0170_COnP0.8041.pt,0.5,0.55,0.15,0.801527,0.775341,0.590055
177,best_model_epoch0177_COnP0.8063.pt,0.5,0.5,0.2,0.79867,0.77232,0.591015
186,best_model_epoch0186_COnP0.8078.pt,0.45,0.5,0.15,0.799118,0.771559,0.59061
189,best_model_epoch0189_COnP0.8082.pt,0.5,0.5,0.2,0.796742,0.770509,0.589519
193,best_model_epoch0193_COnP0.8104.pt,0.5,0.5,0.15,0.798051,0.772575,0.593135
205,best_model_epoch0205_COnP0.8125.pt,0.5,0.55,0.2,0.80154,0.774663,0.592432
209,best_model_epoch0209_COnP0.8126.pt,0.5,0.45,0.2,0.796516,0.768422,0.588456
211,best_model_epoch0211_COnP0.8128.pt,0.5,0.5,0.35,0.795945,0.768329,0.578811
212,best_model_epoch0212_COnP0.8157.pt,0.55,0.55,0.3,0.796587,0.769624,0.581722
224,best_model_epoch0224_COnP0.8162.pt,0.5,0.65,0.35,0.795696,0.769064,0.582953
226,best_model_epoch0226_COnP0.8199.pt,0.5,0.55,0.2,0.798122,0.771516,0.594841
233,best_model_epoch0233_COnP0.8211.pt,0.45,0.55,0.3,0.798849,0.771539,0.585094
242,best_model_epoch0242_COnP0.8214.pt,0.5,0.5,0.15,0.799165,0.771681,0.592502
244,best_model_epoch0244_COnP0.8227.pt,0.45,0.6,0.25,0.802022,0.774817,0.597573
250,best_model_epoch0250_COnP0.8240.pt,0.5,0.55,0.25,0.800808,0.774289,0.595613
257,best_model_epoch0257_COnP0.8257.pt,0.55,0.55,0.25,0.796875,0.770927,0.590351
261,best_model_epoch0261_COnP0.8286.pt,0.45,0.5,0.2,0.801257,0.773807,0.594016
279,best_model_epoch0279_COnP0.8332.pt,0.5,0.5,0.2,0.799128,0.771546,0.593094
286,best_model_epoch0286_COnP0.8347.pt,0.5,0.5,0.25,0.797711,0.771303,0.592058
301,best_model_epoch0301_COnP0.8368.pt,0.55,0.55,0.35,0.797396,0.770017,0.586079
316,best_model_epoch0316_COnP0.8396.pt,0.5,0.55,0.25,0.798189,0.771813,0.585964
327,best_model_epoch0327_COnP0.8411.pt,0.55,0.6,0.3,0.796355,0.769211,0.580639
330,best_model_epoch0330_COnP0.8414.pt,0.5,0.5,0.3,0.796659,0.768692,0.58141
342,best_model_epoch0342_COnP0.8422.pt,0.55,0.55,0.3,0.794148,0.768191,0.584588
347,best_model_epoch0347_COnP0.8423.pt,0.55,0.55,0.35,0.792207,0.765329,0.580217
349,best_model_epoch0349_COnP0.8423.pt,0.5,0.55,0.35,0.796939,0.769451,0.579259
351,best_model_epoch0351_COnP0.8436.pt,0.5,0.5,0.3,0.791554,0.76459,0.579463
352,best_model_epoch0352_COnP0.8470.pt,0.55,0.5,0.25,0.79393,0.767046,0.583309
358,best_model_epoch0358_COnP0.8490.pt,0.5,0.55,0.3,0.796551,0.769317,0.58562
379,best_model_epoch0379_COnP0.8498.pt,0.5,0.55,0.4,0.795702,0.768299,0.579434
389,best_model_epoch0389_COnP0.8509.pt,0.45,0.45,0.25,0.796229,0.768662,0.581649
393,best_model_epoch0393_COnP0.8519.pt,0.5,0.55,0.3,0.79797,0.769622,0.584937
397,best_model_epoch0397_COnP0.8533.pt,0.5,0.55,0.3,0.797304,0.769438,0.586134
399,best_model_epoch0399_COnP0.8547.pt,0.6,0.55,0.35,0.792636,0.7655,0.580803
409,best_model_epoch0409_COnP0.8560.pt,0.55,0.6,0.35,0.797052,0.770747,0.583001
412,best_model_epoch0412_COnP0.8574.pt,0.55,0.6,0.35,0.794479,0.767881,0.584551
415,best_model_epoch0415_COnP0.8580.pt,0.5,0.65,0.4,0.794055,0.76748,0.579606
429,best_model_epoch0429_COnP0.8613.pt,0.45,0.5,0.3,0.793542,0.765364,0.578627
437,best_model_epoch0437_COnP0.8626.pt,0.55,0.5,0.35,0.792439,0.764895,0.572493
459,best_model_epoch0459_COnP0.8642.pt,0.5,0.45,0.3,0.792879,0.765223,0.57558
461,best_model_epoch0461_COnP0.8660.pt,0.55,0.55,0.35,0.793441,0.765674,0.574902
469,best_model_epoch0469_COnP0.8665.pt,0.5,0.5,0.3,0.78957,0.762899,0.577494
472,best_model_epoch0472_COnP0.8665.pt,0.5,0.5,0.3,0.788787,0.761153,0.57852
476,best_model_epoch0476_COnP0.8671.pt,0.5,0.5,0.3,0.788782,0.761516,0.571416
478,best_model_epoch0478_COnP0.8701.pt,0.5,0.55,0.3,0.789899,0.762775,0.575074
481,best_model_epoch0481_COnP0.8706.pt,0.5,0.5,0.4,0.788123,0.76085,0.570162
491,best_model_epoch0491_COnP0.8708.pt,0.5,0.6,0.3,0.792862,0.76651,0.583207
492,best_model_epoch0492_COnP0.8717.pt,0.5,0.5,0.25,0.792053,0.764181,0.582401
500,best_model_epoch0500_COnP0.8717.pt,0.5,0.5,0.3,0.78832,0.760462,0.575648
